id,question,answer_0,answer_1,answer_2,answer_3,correct
1,GMOs are created by ________,generating genomic DNA fragments with restriction endonucleases,introducing recombinant DNA into an organism by any means,overexpressing proteins in E. coli,all of the above,introducing recombinant DNA into an organism by any means
2,Insulin produced by molecular cloning:,is of pig origin,is a recombinant protein,is made by the human pancreas,is recombinant DNA,is a recombinant protein
3,The Flavr Savr Tomato:,is a variety of vine-ripened tomato in the supermarket,was created to have better flavor and shelf-life,does not undergo soft rot,all of the above,all of the above
4,Linkage analysis ________,is used to create a physical map,is based on the natural recombination process,requires radiation hybrid mapping,involves breaking and rejoining of DNA artificially,is based on the natural recombination process
5,Individual genetic maps in a given species are:,genetically similar,genetically identical,genetically dissimilar,not useful in species analysis,genetically similar
6,The chain termination method of sequencing:,uses labeled ddNTPs,uses only dideoxynucleotides,uses only deoxynucleotides,uses labeled dNTPs,uses labeled ddNTPs
7,Sequencing an individual person’s genome,is currently possible,could lead to legal issues regarding discrimination and privacy,could help make informed choices about medical treatment,all of the above,all of the above
8,Genomics can be used in agriculture to:,generate new hybrid strains,improve disease resistance,improve yield,all of the above,all of the above
9,What is a biomarker?,the color coding of different genes,a protein that is uniquely produced in a diseased state,a molecule in the genome or proteome,a marker that is genetically inherited,a protein that is uniquely produced in a diseased state
10,Which scientific concept did Charles Darwin and Alfred Wallace independently discover?,mutation,natural selection,overbreeding,sexual reproduction,natural selection
11,Which description is an example of a phenotype?,A certain duck has a blue beak,A mutation occurred to a flower,Most cheetahs live solitary lives,both a and c,both a and c
12,Which situation would most likely lead to allopatric speciation?,Flood causes the formation of a new lake,A storm causes several large trees to fall down,A mutation causes a new trait to develop,An injury,Flood causes the formation of a new lake
13,Which variable increases the likelihood of allopatric speciation taking place more quickly?,lower rate of mutation,longer distance between divided groups,increased instances of hybrid formation,equivalent numbers of individuals in each population,longer distance between divided groups
14,Which reproductive combination produces hybrids?,when individuals of the same species in different geographical areas reproduce,when any two individuals sharing the same habitat reproduce,when members of closely related species reproduce,when offspring of the same parents reproduce,when members of closely related species reproduce
15,Which situation is not an example of a prezygotic barrier?,Two species of turtles breed at different times of the year,Two species of flowers attract different pollinators,Two species of birds display different mating dances,Two species of insects produce infertile offspring,Two species of insects produce infertile offspring
16,Which components of speciation would be least likely to be a part of punctuated equilibrium?,a division of populations,a change in environmental conditions,ongoing gene flow among all individuals,a large number of mutations taking place at once,ongoing gene flow among all individuals
17,What is the difference between micro- and macroevolution?,"Microevolution describes the evolution of small organisms, such as insects, while macroevolution describes the evolution of large organisms, like people and elephants.","Microevolution describes the evolution of microscopic entities, such as molecules and proteins, while macroevolution describes the evolution of whole organisms.","Microevolution describes the evolution of organisms in populations, while macroevolution describes the evolution of species over long periods of time.","Microevolution describes the evolution of organisms over their lifetimes, while macroevolution describes the evolution of organisms over multiple generations.","Microevolution describes the evolution of organisms in populations, while macroevolution describes the evolution of species over long periods of time."
18,Which of the following populations is not in Hardy-Weinberg equilibrium?,"a population with 12 homozygous recessive individuals (yy), 8 homozygous dominant individuals (YY), and 4 heterozygous individuals (Yy)",a population in which the allele frequencies do not change over time,p2 + 2pq + q2 = 1,a population undergoing natural selection,a population undergoing natural selection
19,"When male lions reach sexual maturity, they leave their group in search of a new pride. This can alter the allele frequencies of the population through which of the following mechanisms?",natural selection,genetic drift,gene flow,random mating,gene flow
20,What is assortative mating?,when individuals mate with those who are similar to themselves,when individuals mate with those who are dissimilar to themselves,when individuals mate with those who are the most fit in the population,when individuals mate with those who are least fit in the population,when individuals mate with those who are similar to themselves
21,"What organization provides free, peer-reviewed, openly licensed textbooks for college and Advanced Placement courses?",OpenStax,Connexions,Rice University,The Maxfield Foundation,OpenStax
22,Which group of prokaryotes have a thick peptidoglycan layer fortified with teichoic acids in their cell wall?,Gram positive organisms,Gram negative organisms,Archaea,Bacteria,Gram positive organisms
23,"In plants like moss, which organism is the free-living plant?",Sporophyte,Gametophyte,Both are free-living,Neither,Gametophyte
24,Which zone of the root tip is made up of actively dividing cells?,Zone of elongation,Zone of maturation and differentiation,Zone of cell division,Epidermis,Zone of cell division
25,Which structure acts like a detergent in the airways to reduce surface tension and allow for opening of the alveoli?,Surfactant,Hemoglobin,Cilia,Mucus layer,Surfactant
26,Which protein found in red blood cells is comprised of two alpha and two beta subunits surrounding an iron-containing heme group?,Hemoglobin,Surfactant,Cilia,Residual volume,Hemoglobin
27,"Which clade includes turtles, terrapins, and tortoises?",Saurischian,Maniraptoran,Testudines,Pleurodira,Testudines
28,"Which method do some orchids use to attract pollinators by offering bright colors and perfumes, but no food rewards?",Food deception,Sexual deception,Nectar attraction,Visual trickery,Food deception
29,Which term describes a virus that infects bacteria?,acute disease,hypoplasia,bacteriophage,fusion,bacteriophage
30,What enzyme is responsible for the first chemical reaction in alcohol fermentation?,Lactate dehydrogenase,Pyruvate decarboxylase,Alcohol dehydrogenase,Thiamine pyrophosphate,Pyruvate decarboxylase
31,"During which geological era did ancestors of modern land plants colonize land, according to the passage?",Cambrian period,Devonian period,Carboniferous period,Permian period,Devonian period
32,Which of the following viral structures is responsible for attaching the virus to host cells?,A. Capsomere,B. DNA,C. Glycoproteins,D. Envelope,C. Glycoproteins
